geography,year,dataset,geoid,county_name,state_fips,county_fips,total_population_est,total_households_est,median_household_income_est,per_capita_income_est,poverty_universe_est,below_poverty_est,housing_units_est,occupancy_universe_est,occupied_units_est,vacant_units_est,tenure_universe_est,owner_occupied_est,renter_occupied_est,median_home_value_est,median_gross_rent_est,mortgage_status_universe_est,with_mortgage_est,without_mortgage_est,median_owner_cost_with_mortgage_est,median_owner_cost_without_mortgage_est,rent_pct_income_universe_est,rent_30_34_est,rent_35_39_est,rent_40_49_est,rent_50p_est,mortgage_pct_income_universe_est,mortgage_30_34_est,mortgage_35_39_est,mortgage_40_49_est,mortgage_50p_est,total_population_moe,total_households_moe,median_household_income_moe,per_capita_income_moe,poverty_universe_moe,below_poverty_moe,housing_units_moe,occupancy_universe_moe,occupied_units_moe,vacant_units_moe,tenure_universe_moe,owner_occupied_moe,renter_occupied_moe,median_home_value_moe,median_gross_rent_moe,mortgage_status_universe_moe,with_mortgage_moe,without_mortgage_moe,median_owner_cost_with_mortgage_moe,median_owner_cost_without_mortgage_moe,rent_pct_income_universe_moe,rent_30_34_moe,rent_35_39_moe,rent_40_49_moe,rent_50p_moe,mortgage_pct_income_universe_moe,mortgage_30_34_moe,mortgage_35_39_moe,mortgage_40_49_moe,mortgage_50p_moe,poverty_rate,owner_rate,renter_rate,vacant_units,vacancy_rate,affordable_monthly_30pct_income,rent_pressure,mortgage_share,owner_cost_pressure_with_mortgage,owner_cost_pressure_without_mortgage,rent_burden_30p,rent_burden_50p,mortgage_burden_30p,mortgage_burden_50p
county,2020,acs5,25001,"Barnstable County, Massachusetts",25,001,213505,95859,76863,47315,210734,14176,164064,164064,95859,68205,95859,76319,19540,414000,1362,76319,47114,29205,2015,739,19540,1954,1318,1688,5050,47114,3652,3489,3135,7298,,1505,1835,1127,404,1282,136,136,1505,1499,1505,1281,1192,6024,40,1281,1243,995,38,14,1192,441,275,361,498,1243,454,426,353,560,0.067270,0.796159,0.203841,68205,0.415722,1921.57,0.708794,0.617330,1.048619,0.384580,0.512282,0.258444,0.373010,0.154901
county,2020,acs5,25007,"Dukes County, Massachusetts",25,007,17430,6887,77318,43994,17279,1291,18030,18030,6887,11143,6887,4990,1897,794000,1589,4990,2659,2331,2623,1017,1897,142,111,134,485,2659,217,207,381,699,,542,11503,3968,33,369,51,51,542,542,542,404,350,50071,219,404,346,340,231,94,350,92,74,101,195,346,117,115,168,197,0.074715,0.724554,0.275446,11143,0.618026,1932.95,0.822060,0.532866,1.356993,0.526139,0.459673,0.255667,0.565626,0.262881
county,2020,acs5,25013,"Hampden County, Massachusetts",25,013,466647,180492,57623,31483,452156,71113,193713,193713,180492,13221,180492,111246,69246,216100,920,111246,72827,38419,1622,663,69246,6882,4988,5910,17116,72827,5204,2994,4205,7998,,888,1342,563,773,3004,341,341,888,823,888,1680,1488,2483,14,1680,1654,1154,18,10,1488,782,649,587,967,1654,565,459,602,679,0.157275,0.616349,0.383651,13221,0.068250,1440.57,0.638634,0.654648,1.125939,0.460233,0.503942,0.247177,0.280130,0.109822
county,2020,acs5,25019,"Nantucket County, Massachusetts",25,019,11212,3709,112306,57246,11090,700,12498,12498,3709,8789,3709,2563,1146,1117300,1781,2563,1619,944,3407,893,1146,67,68,86,218,1619,176,120,171,331,,317,10162,5723,54,204,47,47,317,318,317,240,250,70758,110,240,236,125,208,116,250,59,83,59,114,236,96,89,84,133,0.063120,0.691022,0.308978,8789,0.703233,2807.65,0.634338,0.631682,1.213470,0.318060,0.383072,0.190227,0.492897,0.204447
county,2020,acs5,25003,"Berkshire County, Massachusetts",25,003,125927,54786,62166,37025,119537,11627,69149,69149,54786,14363,54786,38359,16427,221000,894,38359,23609,14750,1495,633,16427,1815,1047,1494,3356,23609,1704,903,1439,2766,,750,2305,996,439,1157,232,232,750,680,750,732,766,5633,26,732,733,642,31,16,766,327,300,313,414,733,248,163,270,345,0.097267,0.700161,0.299839,14363,0.207711,1554.15,0.575234,0.615475,0.961941,0.407297,0.469471,0.204298,0.288534,0.117159
county,2020,acs5,25005,"Bristol County, Massachusetts",25,005,563301,220365,71450,36900,548482,58446,236043,236043,220365,15678,220365,138424,81941,317800,934,138424,91959,46465,1997,707,81941,7519,4848,6615,17311,91959,6729,3811,4373,9990,,1190,1420,587,942,2961,328,328,1190,1106,1190,1940,1691,3343,10,1940,1864,1485,21,12,1691,753,613,729,950,1864,560,528,515,742,0.106560,0.628158,0.371842,15678,0.066420,1786.25,0.522883,0.664328,1.117985,0.395801,0.442916,0.211262,0.270805,0.108635
county,2020,acs5,25009,"Essex County, Massachusetts",25,009,787038,297254,82225,43948,770223,78089,313956,313956,297254,16702,297254,189708,107546,436600,1298,189708,135177,54531,2399,886,107546,10244,6564,9759,28583,135177,10742,7258,8340,16566,,1115,1120,576,984,3470,421,421,1115,1062,1115,1962,2024,3401,21,1962,2039,1537,19,10,2024,927,640,723,1243,2039,740,662,688,1110,0.101385,0.638202,0.361798,16702,0.053199,2055.62,0.631438,0.712553,1.167042,0.431012,0.512804,0.265775,0.317406,0.122550
county,2020,acs5,25011,"Franklin County, Massachusetts",25,011,70529,30790,61198,35919,69454,7286,34164,34164,30790,3374,30790,21256,9534,239900,959,21256,13380,7876,1634,662,9534,848,534,883,2342,13380,990,758,820,1923,,338,1823,942,175,887,115,115,338,311,338,490,494,4478,35,490,504,423,34,18,494,179,167,226,379,504,231,168,182,250,0.104904,0.690354,0.309646,3374,0.098759,1529.95,0.626818,0.629469,1.068009,0.432694,0.483218,0.245647,0.335650,0.143722
county,2020,acs5,25015,"Hampshire County, Massachusetts",25,015,161361,59607,73518,36600,138291,14691,64114,64114,59607,4507,59607,40466,19141,289300,1095,40466,25384,15082,1867,739,19141,1706,1149,1771,5048,25384,1741,1638,1640,2439,,672,2175,1406,954,1231,419,419,672,551,672,812,805,4361,40,812,864,664,38,16,805,293,242,380,675,864,292,360,364,341,0.106233,0.678880,0.321120,4507,0.070297,1837.95,0.595772,0.627292,1.015806,0.402078,0.505407,0.263727,0.293807,0.096084
county,2020,acs5,25017,"Middlesex County, Massachusetts",25,017,1605899,611850,106202,54433,1550934,112373,641278,641278,611850,29428,611850,380079,231771,540300,1714,380079,260943,119136,2671,976,231771,20841,13310,17753,46585,260943,18111,12057,13334,27848,,1348,1144,526,1418,4761,560,560,1348,1395,1348,2685,2629,3956,14,2685,3110,2221,18,11,2629,1389,1011,1054,1882,3110,1022,801,846,1305,0.072455,0.621196,0.378804,29428,0.045890,2655.05,0.645562,0.686549,1.006007,0.367601,0.424941,0.200996,0.273431,0.106721
